decoder_candidate,onset_threshold,offset_threshold,min_onset_separation_seconds,min_note_duration_seconds,crepe_confidence_threshold,matches,ref_notes,est_notes,COnPOff_F_micro
224,0.44,0.495,0.162,0.11,0.3,1082,1702,1601,0.6551619739630639
218,0.44,0.495,0.162,0.09,0.3,1092,1702,1633,0.654872563718141
69,0.36,0.495,0.18,0.11,0.2,1108,1702,1683,0.6546528803545052
133,0.4,0.45,0.198,0.11,0.25,1085,1702,1614,0.6544028950542823
204,0.44,0.45,0.18,0.11,0.2,1082,1702,1605,0.6543695192016934
148,0.4,0.495,0.18,0.1,0.25,1094,1702,1644,0.6539151225343695
212,0.44,0.45,0.198,0.1,0.3,1072,1702,1577,0.6538578835010674
63,0.36,0.495,0.18,0.09,0.2,1115,1702,1710,0.6535756154747948
127,0.4,0.45,0.198,0.09,0.25,1092,1702,1640,0.6535008976660682
198,0.44,0.45,0.18,0.09,0.2,1089,1702,1632,0.6532693461307738
215,0.44,0.45,0.198,0.11,0.3,1066,1702,1562,0.6531862745098039
76,0.36,0.495,0.198,0.1,0.25,1097,1702,1659,0.6527819101457899
230,0.44,0.495,0.18,0.1,0.3,1076,1702,1595,0.6527145890203214
233,0.44,0.495,0.18,0.11,0.3,1071,1702,1580,0.6526508226691041
145,0.4,0.495,0.18,0.09,0.25,1097,1702,1660,0.652587745389649
151,0.4,0.495,0.18,0.11,0.25,1088,1702,1633,0.6524737631184407
138,0.4,0.495,0.162,0.1,0.2,1104,1702,1684,0.6520968694624926
227,0.44,0.495,0.18,0.09,0.3,1080,1702,1612,0.651780325890163
141,0.4,0.495,0.162,0.11,0.2,1100,1702,1675,0.6514657980456026
79,0.36,0.495,0.198,0.11,0.25,1091,1702,1648,0.6513432835820895
209,0.44,0.45,0.198,0.09,0.3,1073,1702,1593,0.6512898330804249
135,0.4,0.495,0.162,0.09,0.2,1108,1702,1702,0.6509988249118684
73,0.36,0.495,0.198,0.09,0.25,1098,1702,1674,0.6504739336492891
220,0.44,0.495,0.162,0.1,0.25,1081,1702,1624,0.6500300661455201
129,0.4,0.45,0.198,0.1,0.2,1085,1702,1637,0.649895178197065
158,0.4,0.495,0.198,0.1,0.3,1078,1702,1617,0.6495932509792105
161,0.4,0.495,0.198,0.11,0.3,1073,1702,1602,0.6495157384987893
217,0.44,0.495,0.162,0.09,0.25,1085,1702,1640,0.649311789347696
211,0.44,0.45,0.198,0.1,0.25,1067,1702,1585,0.6492242166108914
132,0.4,0.45,0.198,0.11,0.2,1080,1702,1628,0.6486486486486486
223,0.44,0.495,0.162,0.11,0.25,1075,1702,1613,0.6485671191553545
155,0.4,0.495,0.198,0.09,0.3,1080,1702,1633,0.6476761619190404
229,0.44,0.495,0.18,0.1,0.25,1070,1702,1603,0.6475037821482602
214,0.44,0.45,0.198,0.11,0.25,1060,1702,1574,0.6471306471306472
147,0.4,0.495,0.18,0.1,0.2,1086,1702,1656,0.6468135795116142
126,0.4,0.45,0.198,0.09,0.2,1085,1702,1654,0.6466030989272944
208,0.44,0.45,0.198,0.09,0.25,1067,1702,1600,0.646274984857662
226,0.44,0.495,0.18,0.09,0.25,1073,1702,1619,0.646190906353508
150,0.4,0.495,0.18,0.11,0.2,1082,1702,1647,0.6461630337414153
232,0.44,0.495,0.18,0.11,0.25,1064,1702,1592,0.6460230722525804
144,0.4,0.495,0.18,0.09,0.2,1089,1702,1674,0.6451421800947866
75,0.36,0.495,0.198,0.1,0.2,1088,1702,1671,0.64512303587311
78,0.36,0.495,0.198,0.11,0.2,1084,1702,1662,0.6444708680142688
157,0.4,0.495,0.198,0.1,0.25,1072,1702,1625,0.644424406372107
219,0.44,0.495,0.162,0.1,0.2,1074,1702,1635,0.643691938867246
222,0.44,0.495,0.162,0.11,0.2,1070,1702,1626,0.6430288461538461
160,0.4,0.495,0.198,0.11,0.25,1066,1702,1614,0.6429433051869723
239,0.44,0.495,0.198,0.1,0.3,1054,1702,1577,0.6428789265019823
242,0.44,0.495,0.198,0.11,0.3,1049,1702,1562,0.6427696078431373
216,0.44,0.495,0.162,0.09,0.2,1078,1702,1653,0.6426229508196721
72,0.36,0.495,0.198,0.09,0.2,1089,1702,1688,0.6424778761061947
210,0.44,0.45,0.198,0.1,0.2,1059,1702,1596,0.6422073984232868
154,0.4,0.495,0.198,0.09,0.25,1073,1702,1640,0.642130460801915
236,0.44,0.495,0.198,0.09,0.3,1056,1702,1593,0.6409711684370258
213,0.44,0.45,0.198,0.11,0.2,1054,1702,1587,0.6409242930982061
228,0.44,0.495,0.18,0.1,0.2,1062,1702,1614,0.6405307599517491
231,0.44,0.495,0.18,0.11,0.2,1058,1702,1605,0.639854853341397
207,0.44,0.45,0.198,0.09,0.2,1059,1702,1613,0.6389140271493213
225,0.44,0.495,0.18,0.09,0.2,1065,1702,1632,0.6388722255548889
238,0.44,0.495,0.198,0.1,0.25,1048,1702,1585,0.6376635229692729
156,0.4,0.495,0.198,0.1,0.2,1063,1702,1637,0.6367175801138065
241,0.44,0.495,0.198,0.11,0.25,1042,1702,1574,0.6361416361416361
159,0.4,0.495,0.198,0.11,0.2,1059,1702,1628,0.6360360360360361
235,0.44,0.495,0.198,0.09,0.25,1049,1702,1600,0.6353725015142339
153,0.4,0.495,0.198,0.09,0.2,1064,1702,1654,0.634088200238379
237,0.44,0.495,0.198,0.1,0.2,1039,1702,1596,0.6300788356579745
240,0.44,0.495,0.198,0.11,0.2,1035,1702,1587,0.6293706293706294
234,0.44,0.495,0.198,0.09,0.2,1040,1702,1613,0.6274509803921567
