decoder_candidate,onset_threshold,offset_threshold,min_onset_separation_seconds,min_note_duration_seconds,crepe_confidence_threshold,matches,ref_notes,est_notes,COnPOff_F_micro
140,0.4,0.495,0.162,0.1,0.3,1420,2152,2092,0.6691800188501413
137,0.4,0.495,0.162,0.09,0.3,1425,2152,2111,0.6685432793807178
186,0.44,0.405,0.198,0.11,0.2,1388,2152,2001,0.6684324584637611
183,0.44,0.405,0.198,0.1,0.2,1392,2152,2013,0.6684273709483793
198,0.44,0.45,0.18,0.09,0.2,1405,2152,2052,0.6684110371075167
143,0.4,0.495,0.162,0.11,0.3,1412,2152,2076,0.6679280983916744
132,0.4,0.45,0.198,0.11,0.2,1400,2152,2043,0.6674612634088201
129,0.4,0.45,0.198,0.1,0.2,1404,2152,2055,0.6674589969099121
180,0.44,0.405,0.198,0.09,0.2,1395,2152,2031,0.6669854171647143
221,0.44,0.495,0.162,0.1,0.3,1398,2152,2045,0.6661901358112937
126,0.4,0.45,0.198,0.09,0.2,1407,2152,2073,0.6660355029585799
58,0.36,0.495,0.162,0.1,0.25,1430,2152,2144,0.6657355679702048
218,0.44,0.495,0.162,0.09,0.3,1403,2152,2064,0.6655597722960152
211,0.44,0.45,0.198,0.1,0.25,1381,2152,1999,0.6653818357022404
77,0.36,0.495,0.198,0.1,0.3,1405,2152,2072,0.6652462121212122
55,0.36,0.495,0.162,0.09,0.25,1434,2152,2161,0.6649663807094829
224,0.44,0.495,0.162,0.11,0.3,1390,2152,2029,0.6649127003109304
149,0.4,0.495,0.18,0.1,0.3,1399,2152,2059,0.6644502493469484
214,0.44,0.45,0.198,0.11,0.25,1375,2152,1987,0.6644116936458081
61,0.36,0.495,0.162,0.11,0.25,1423,2152,2132,0.6643323996265174
67,0.36,0.495,0.18,0.1,0.25,1414,2152,2105,0.6643175945501526
74,0.36,0.495,0.198,0.09,0.3,1409,2152,2091,0.664152722130568
208,0.44,0.45,0.198,0.09,0.25,1384,2152,2016,0.6641074856046065
80,0.36,0.495,0.198,0.11,0.3,1397,2152,2056,0.6639733840304183
146,0.4,0.495,0.18,0.09,0.3,1404,2152,2078,0.6638297872340426
64,0.36,0.495,0.18,0.09,0.25,1418,2152,2122,0.6635470285446888
152,0.4,0.495,0.18,0.11,0.3,1391,2152,2043,0.663170441001192
70,0.36,0.495,0.18,0.11,0.25,1407,2152,2093,0.6628975265017668
139,0.4,0.495,0.162,0.1,0.25,1407,2152,2100,0.6618062088428975
136,0.4,0.495,0.162,0.09,0.25,1411,2152,2117,0.6610447411571796
57,0.36,0.495,0.162,0.1,0.2,1424,2152,2158,0.6607888631090486
210,0.44,0.45,0.198,0.1,0.2,1376,2152,2013,0.6607442977190875
213,0.44,0.45,0.198,0.11,0.2,1372,2152,2001,0.660727185167349
230,0.44,0.495,0.18,0.1,0.3,1375,2152,2012,0.6604226705091257
142,0.4,0.495,0.162,0.11,0.25,1400,2152,2088,0.6603773584905661
60,0.36,0.495,0.162,0.11,0.2,1419,2152,2146,0.6603071195905071
54,0.36,0.495,0.162,0.09,0.2,1428,2152,2176,0.6598890942698705
227,0.44,0.495,0.18,0.09,0.3,1380,2152,2031,0.6598135309586421
207,0.44,0.45,0.198,0.09,0.2,1379,2152,2031,0.6593354052115707
233,0.44,0.495,0.18,0.11,0.3,1367,2152,1996,0.6591128254580522
66,0.36,0.495,0.18,0.1,0.2,1407,2152,2119,0.6588620931866074
220,0.44,0.495,0.162,0.1,0.25,1385,2152,2053,0.6587395957193817
158,0.4,0.495,0.198,0.1,0.3,1378,2152,2033,0.6585424133811231
69,0.36,0.495,0.18,0.11,0.2,1402,2152,2107,0.6583705095092744
76,0.36,0.495,0.198,0.1,0.25,1393,2152,2080,0.6583175803402647
217,0.44,0.495,0.162,0.09,0.25,1389,2152,2070,0.6579819990525818
63,0.36,0.495,0.18,0.09,0.2,1411,2152,2137,0.657962228957799
155,0.4,0.495,0.198,0.09,0.3,1382,2152,2052,0.6574690770694577
223,0.44,0.495,0.162,0.11,0.25,1378,2152,2041,0.6572859527784402
161,0.4,0.495,0.198,0.11,0.3,1370,2152,2017,0.6572319501079396
73,0.36,0.495,0.198,0.09,0.25,1396,2152,2097,0.6570957872440575
148,0.4,0.495,0.18,0.1,0.25,1386,2152,2067,0.657027731689974
79,0.36,0.495,0.198,0.11,0.25,1386,2152,2068,0.6568720379146921
138,0.4,0.495,0.162,0.1,0.2,1401,2152,2114,0.6568213783403657
141,0.4,0.495,0.162,0.11,0.2,1396,2152,2102,0.6563234602726845
145,0.4,0.495,0.18,0.09,0.25,1390,2152,2084,0.6562795089707271
135,0.4,0.495,0.162,0.09,0.2,1405,2152,2132,0.6559290382819795
151,0.4,0.495,0.18,0.11,0.25,1379,2152,2055,0.6555740432612314
219,0.44,0.495,0.162,0.1,0.2,1379,2152,2067,0.6537094098127518
239,0.44,0.495,0.198,0.1,0.3,1354,2152,1991,0.6536326333574705
222,0.44,0.495,0.162,0.11,0.2,1374,2152,2055,0.6531970525314951
229,0.44,0.495,0.18,0.1,0.25,1362,2152,2020,0.6529242569511026
75,0.36,0.495,0.198,0.1,0.2,1386,2152,2094,0.6528497409326426
216,0.44,0.495,0.162,0.09,0.2,1383,2152,2085,0.6528203917866415
236,0.44,0.495,0.198,0.09,0.3,1358,2152,2010,0.6525708793849112
78,0.36,0.495,0.198,0.11,0.2,1381,2152,2082,0.6523382144544166
242,0.44,0.495,0.198,0.11,0.3,1346,2152,1975,0.652289798885389
226,0.44,0.495,0.18,0.09,0.25,1366,2152,2037,0.6521842921938411
147,0.4,0.495,0.18,0.1,0.2,1379,2152,2081,0.6515473659343255
72,0.36,0.495,0.198,0.09,0.2,1389,2152,2112,0.6515009380863039
232,0.44,0.495,0.18,0.11,0.25,1355,2152,2008,0.6514423076923077
157,0.4,0.495,0.198,0.1,0.25,1365,2152,2041,0.6510851419031719
150,0.4,0.495,0.18,0.11,0.2,1374,2152,2069,0.6510305614783227
144,0.4,0.495,0.18,0.09,0.2,1383,2152,2099,0.6506704304869442
154,0.4,0.495,0.198,0.09,0.25,1368,2152,2058,0.6498812351543942
160,0.4,0.495,0.198,0.11,0.25,1358,2152,2029,0.6496053575699594
228,0.44,0.495,0.18,0.1,0.2,1355,2152,2034,0.6473960821786909
231,0.44,0.495,0.18,0.11,0.2,1350,2152,2022,0.6468615237182559
225,0.44,0.495,0.18,0.09,0.2,1359,2152,2052,0.6465271170313986
238,0.44,0.495,0.198,0.1,0.25,1341,2152,1999,0.6461093712358468
156,0.4,0.495,0.198,0.1,0.2,1358,2152,2055,0.6455906821963394
159,0.4,0.495,0.198,0.11,0.2,1353,2152,2043,0.6450536352800954
235,0.44,0.495,0.198,0.09,0.25,1344,2152,2016,0.6449136276391554
241,0.44,0.495,0.198,0.11,0.25,1334,2152,1987,0.6446001449625514
153,0.4,0.495,0.198,0.09,0.2,1361,2152,2073,0.6442603550295858
237,0.44,0.495,0.198,0.1,0.2,1334,2152,2013,0.6405762304921969
240,0.44,0.495,0.198,0.11,0.2,1329,2152,2001,0.6400192631832411
234,0.44,0.495,0.198,0.09,0.2,1337,2152,2031,0.6392541238345686
