stem,ref_notes,est_notes,COnPOff_P,COnPOff_R,COnPOff_F,COnP_P,COnP_R,COnP_F,COn_P,COn_R,COn_F,Split,Merged,Spurious
F01_0149_0002_1,32,32,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.09375,0.09375,0.84375,0.8125,0.0
F01_0149_0002_2,32,32,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.09375,0.09375,0.8125,0.78125,0.0
F01_0167_0001_1_D,19,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7894736842105263,0.7894736842105263,0.0
F01_0167_0001_2_D,19,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8421052631578947,0.8421052631578947,0.0
F01_0167_0002_1_D,17,18,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.058823529411764705,0.05714285714285714,0.8823529411764706,0.8823529411764706,0.0
F01_0167_0002_2_D,17,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8823529411764706,0.8823529411764706,0.0
F01_0190_0001_1,21,21,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.8095238095238095,0.8095238095238095,0.0
F01_0190_0001_2_D,21,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8095238095238095,0.8095238095238095,0.0
F01_0190_0002_1_D,19,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8421052631578947,0.8421052631578947,0.0
F01_0190_0002_2_D,19,18,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.05263157894736842,0.05405405405405406,0.7894736842105263,0.8421052631578947,0.0
F01_0195_0001_1_D,27,27,0.0,0.0,0.0,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.8518518518518519,0.8148148148148148,0.0
F01_0195_0001_2_D,27,27,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.9259259259259259,0.8888888888888888,0.0
F01_0195_0002_1_D,25,25,0.0,0.0,0.0,0.08,0.08,0.08,0.44,0.44,0.44,0.88,0.88,0.0
F01_0195_0002_2_D,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.88,0.88,0.0
F01_0208_0001_1_D,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.20000000000000004,0.8,0.8,0.0
F01_0208_0001_2_D,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.20000000000000004,0.8,0.8,0.0
F01_0208_0002_1_D,13,13,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.6923076923076923,0.6923076923076923,0.0
F01_0208_0002_2_D,13,13,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.7692307692307693,0.7692307692307693,0.0
F01_0221_0001_1_D,20,18,0.0,0.0,0.0,0.05555555555555555,0.05,0.052631578947368425,0.1111111111111111,0.1,0.10526315789473685,0.65,0.7,0.0
F01_0221_0001_2_D,20,19,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.05,0.05128205128205128,0.75,0.75,0.0
F01_0221_0002_1_D,23,22,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.043478260869565216,0.04444444444444444,0.8260869565217391,0.8260869565217391,0.0
F01_0221_0002_2_D,23,22,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.043478260869565216,0.04444444444444444,0.8260869565217391,0.8260869565217391,0.0
F01_0233_0001_1_D,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,0.65,0.0
F01_0233_0001_2_D,20,19,0.0,0.0,0.0,0.0,0.0,0.0,0.3157894736842105,0.3,0.3076923076923077,0.6,0.65,0.0
F01_0233_0002_1,36,36,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.6111111111111112,0.6666666666666666,0.0
F01_0265_0001_1_D,29,29,0.0,0.0,0.0,0.06896551724137931,0.06896551724137931,0.06896551724137931,0.3103448275862069,0.3103448275862069,0.3103448275862069,0.8620689655172413,0.8620689655172413,0.0
F01_0265_0001_2_D,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.06896551724137931,0.06896551724137931,0.8620689655172413,0.8620689655172413,0.0
F01_0265_0002_1_D,37,37,0.0,0.0,0.0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.6756756756756757,0.6756756756756757,0.0
F01_0265_0002_2_D,37,35,0.0,0.0,0.0,0.0,0.0,0.0,0.11428571428571428,0.10810810810810811,0.11111111111111112,0.6756756756756757,0.6756756756756757,0.0
F01_0329_0001_1,18,16,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.2777777777777778,0.29411764705882354,0.7222222222222222,0.6666666666666666,0.0
F01_0329_0001_2,18,16,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.2777777777777778,0.29411764705882354,0.7222222222222222,0.7222222222222222,0.0
F01_0329_0002_1,21,21,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.6666666666666666,0.6190476190476191,0.047619047619047616
F01_0329_0002_2,21,21,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.7142857142857143,0.6666666666666666,0.0
F01_0347_0001_1_D,30,30,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.3,0.3,0.3,0.6666666666666666,0.5666666666666667,0.0
F01_0347_0001_2_D,30,30,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.8333333333333334,0.8,0.0
F01_0347_0002_1_D,37,36,0.0,0.0,0.0,0.0,0.0,0.0,0.19444444444444445,0.1891891891891892,0.1917808219178082,0.6756756756756757,0.6486486486486487,0.0
F01_0347_0002_2_D,37,37,0.0,0.0,0.0,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.13513513513513514,0.13513513513513514,0.13513513513513514,0.7567567567567568,0.7027027027027027,0.0
F01_0353_0001_1_D,24,24,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.7916666666666666,0.0
F01_0353_0001_2_D,24,24,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.8333333333333334,0.7916666666666666,0.0
F01_0353_0002_1_D,26,26,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.7692307692307693,0.6923076923076923,0.0
F01_0353_0002_2_D,26,26,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.7307692307692307,0.7307692307692307,0.0
F01_0355_0001_1,18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.7222222222222222,0.0
F01_0355_0001_2,18,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.8888888888888888,0.0
F01_0355_0002_1_D,18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.8888888888888888,0.8888888888888888,0.0
F01_0355_0002_2_D,18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.8888888888888888,0.0
F01_0362_0001_1_D,39,41,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.05128205128205128,0.05,0.8461538461538461,0.8205128205128205,0.0
F01_0362_0001_2_D,39,40,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.02564102564102564,0.02531645569620253,0.8717948717948718,0.8461538461538461,0.0
F01_0362_0002_1_D,38,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8421052631578947,0.8421052631578947,0.0
F01_0362_0002_2_D,38,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8421052631578947,0.8421052631578947,0.0
F01_0459_0001_1,29,27,0.0,0.0,0.0,0.07407407407407407,0.06896551724137931,0.07142857142857142,0.1111111111111111,0.10344827586206896,0.10714285714285715,0.7931034482758621,0.8275862068965517,0.0
F01_0459_0001_2,29,26,0.0,0.0,0.0,0.07692307692307693,0.06896551724137931,0.07272727272727274,0.11538461538461539,0.10344827586206896,0.10909090909090909,0.7586206896551724,0.7931034482758621,0.0
F01_0459_0002_1_D,22,21,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.18181818181818182,0.18604651162790697,0.7272727272727273,0.7272727272727273,0.0
F01_0459_0002_2_D,22,22,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.8636363636363636,0.8636363636363636,0.0
F01_0477_0001_1_D,35,35,0.0,0.0,0.0,0.0,0.0,0.0,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.7714285714285715,0.7142857142857143,0.0
F01_0477_0001_2_D,35,34,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.02857142857142857,0.02898550724637681,0.7142857142857143,0.7142857142857143,0.0
F01_0477_0002_1_D,22,23,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.045454545454545456,0.04444444444444444,0.8636363636363636,0.8636363636363636,0.0
F01_0477_0002_2_D,22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.8636363636363636,0.8636363636363636,0.0
F01_0489_0001_1_D,24,24,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25,0.25,0.25,0.75,0.7083333333333334,0.0
F01_0489_0001_2_D,24,25,0.0,0.0,0.0,0.04,0.041666666666666664,0.04081632653061224,0.16,0.16666666666666666,0.16326530612244897,0.7083333333333334,0.6666666666666666,0.0
F01_0489_0002_1_D,24,25,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.20833333333333334,0.20408163265306126,0.625,0.5,0.0
F01_0489_0002_2_D,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5833333333333334,0.5416666666666666,0.0
F02_0024_0001_1_D,18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.4444444444444444,0.4444444444444444,0.0
F02_0024_0001_2_D,18,19,0.05263157894736842,0.05555555555555555,0.05405405405405406,0.05263157894736842,0.05555555555555555,0.05405405405405406,0.3157894736842105,0.3333333333333333,0.3243243243243243,0.5555555555555556,0.4444444444444444,0.0
