stem,ref_notes,est_notes,COnPOff_P,COnPOff_R,COnPOff_F,COnP_P,COnP_R,COnP_F,COn_P,COn_R,COn_F,Split,Merged,Spurious,audio_duration_seconds,split_approx_count,split_per_5_seconds,split_per_100_ref_notes,merged_approx_count,merged_per_5_seconds,merged_per_100_ref_notes,spurious_approx_count,spurious_per_5_seconds,spurious_per_100_ref_notes
child6,60,63,0.7777777777777778,0.8166666666666667,0.7967479674796747,0.9206349206349206,0.9666666666666668,0.943089430894309,0.9206349206349206,0.9666666666666668,0.943089430894309,0.15,0.15,0.05,33.0,9.0,1.3636363636363635,15.0,9.0,1.3636363636363635,15.0,3.0,0.4545454545454546,5.0
child7,60,59,0.8305084745762712,0.8166666666666667,0.8235294117647058,0.9152542372881356,0.9,0.907563025210084,0.9152542372881356,0.9,0.907563025210084,0.1333333333333333,0.1166666666666666,0.0,36.881950113378686,7.999999999999998,1.0845413509056903,13.33333333333333,6.999999999999996,0.9489736820424786,11.66666666666666,0.0,0.0,0.0
child8,87,83,0.8433734939759037,0.8045977011494253,0.8235294117647061,0.891566265060241,0.8505747126436781,0.8705882352941176,0.9397590361445785,0.896551724137931,0.9176470588235294,0.1149425287356321,0.1724137931034483,0.0459770114942528,45.0,9.999999999999993,1.1111111111111103,11.49425287356321,15.000000000000002,1.666666666666667,17.24137931034483,3.9999999999999933,0.4444444444444437,4.59770114942528
child9,61,59,0.8983050847457628,0.8688524590163934,0.8833333333333333,0.9661016949152542,0.9344262295081968,0.95,0.9830508474576272,0.9508196721311476,0.9666666666666668,0.1311475409836065,0.180327868852459,0.0163934426229508,29.9437641723356,7.999999999999997,1.335837397388907,13.11475409836065,10.999999999999998,1.8367764214097473,18.032786885245898,0.9999999999999988,0.16697967467361322,1.63934426229508
q1,28,25,0.56,0.5,0.5283018867924528,0.76,0.6785714285714286,0.7169811320754718,0.92,0.8214285714285714,0.8679245283018867,0.0714285714285714,0.25,0.0714285714285714,15.75,1.9999999999999991,0.6349206349206347,7.14285714285714,7.0,2.2222222222222223,25.0,1.9999999999999991,0.6349206349206347,7.14285714285714
q102,62,55,0.7090909090909091,0.6290322580645161,0.6666666666666666,0.8181818181818182,0.7258064516129032,0.7692307692307693,0.9454545454545454,0.8387096774193549,0.8888888888888888,0.3387096774193548,0.4193548387096774,0.0,32.90625850340136,21.0,3.190882366317844,33.87096774193548,25.999999999999996,3.950616263060187,41.93548387096774,0.0,0.0,0.0
q14,27,25,0.8,0.7407407407407407,0.7692307692307692,1.0,0.925925925925926,0.9615384615384616,1.0,0.925925925925926,0.9615384615384616,0.2222222222222222,0.2962962962962963,0.0,20.28124716553288,6.0,1.4791989740642641,22.22222222222222,8.0,1.9722652987523523,29.629629629629626,0.0,0.0,0.0
q16,29,25,0.88,0.7586206896551724,0.8148148148148148,0.96,0.8275862068965517,0.888888888888889,1.0,0.8620689655172413,0.925925925925926,0.3448275862068966,0.4137931034482758,0.0,17.016666666666666,10.0,2.9382957884427037,34.48275862068966,11.999999999999998,3.525954946131243,41.37931034482758,0.0,0.0,0.0
q18,36,38,0.6578947368421053,0.6944444444444444,0.6756756756756757,0.7368421052631579,0.7777777777777778,0.7567567567567567,0.7631578947368421,0.8055555555555556,0.7837837837837838,0.3888888888888889,0.3611111111111111,0.0,27.93750566893424,14.0,2.5055923327413634,38.88888888888889,13.0,2.326621451831266,36.11111111111111,0.0,0.0,0.0
q2,35,25,0.6,0.4285714285714285,0.5,0.84,0.6,0.7000000000000001,0.96,0.6857142857142857,0.7999999999999999,0.0285714285714285,0.2285714285714285,0.0,24.06249433106576,0.9999999999999976,0.20779225674641566,2.85714285714285,7.999999999999998,1.6623380539713288,22.85714285714285,0.0,0.0,0.0
