stem,error_type,event_time,reference_index,estimate_index,distance_to_phrase_boundary_seconds,near_phrase_boundary
child8,merged,12.705,20,20,1.3539999999999992,False
child8,merged,14.802,25,24,3.4509999999999987,False
child8,merged,17.577,31,30,1.0479999999999983,False
child8,merged,22.72,41,39,3.1580000000000013,False
child8,merged,25.508,47,44,0.370000000000001,False
child8,merged,26.867,49,46,0.37400000000000233,False
child8,merged,31.03,59,56,1.0259999999999962,False
child8,merged,31.73,61,59,0.32599999999999696,False
child8,merged,35.111,69,66,0.9890000000000043,False
child8,merged,35.423,70,66,0.6769999999999996,False
child8,merged,39.101,78,73,0.3539999999999992,False
child8,merged,39.722,80,76,0.9750000000000014,False
child8,merged,41.039,84,79,1.9159999999999968,False
child8,merged,41.405,85,79,1.5499999999999972,False
child8,spurious,1.13,-1,0,2.025,False
child8,spurious,1.31,-1,1,1.8449999999999998,False
child8,spurious,43.68,-1,81,0.7250000000000014,False
child8,spurious,43.96,-1,82,1.0050000000000026,False
child9,split,1.99,0,2,0.2549999999999999,False
child9,split,1.99,1,2,0.2549999999999999,False
child9,split,2.31,1,3,0.575,False
child9,split,7.83,13,15,0.8130000000000006,False
child9,split,9.27,15,17,0.23499999999999943,False
child9,split,10.2,17,19,1.1649999999999991,False
child9,split,11.43,21,22,0.8079999999999998,False
child9,split,18.12,34,36,1.0509999999999984,False
child9,split,18.43,36,37,0.7409999999999997,False
child9,merged,1.997,1,1,0.262,False
child9,merged,1.997,1,2,0.262,False
child9,merged,2.34,2,3,0.6049999999999998,False
child9,merged,7.839,14,15,0.8040000000000003,False
child9,merged,9.28,16,17,0.24499999999999922,False
child9,merged,10.22,18,19,1.1850000000000005,False
child9,merged,11.415,21,21,0.8230000000000004,False
child9,merged,18.13,35,36,1.0410000000000004,False
child9,merged,18.409,36,36,0.7620000000000005,False
child9,merged,20.126,40,40,0.5210000000000008,False
child9,merged,27.778,57,56,1.3449999999999989,False
child9,merged,28.61,59,57,0.8960000000000008,False
child9,spurious,0.48,-1,0,1.2550000000000001,False
q1,split,1.02,1,2,0.635,False
q1,split,12.49,21,20,2.6189999999999998,False
q1,merged,1.01,1,1,0.625,False
q1,merged,2.209,3,3,1.824,False
q1,merged,6.067,9,8,0.9080000000000004,False
q1,merged,7.112,12,10,1.1319999999999997,False
q1,merged,11.745,19,17,2.138,False
q1,merged,12.501,22,20,2.6080000000000005,False
q1,merged,13.408,25,22,1.7010000000000005,False
q1,spurious,0.09,-1,0,0.29500000000000004,False
q1,spurious,8.98,-1,12,0.6269999999999989,False
q102,split,0.94,1,1,0.48199999999999993,False
q102,split,2.11,4,4,0.32600000000000007,False
q102,split,2.42,4,5,0.016000000000000014,True
q102,split,3.2,6,7,0.3480000000000003,False
q102,split,3.6,8,8,0.7480000000000002,False
q102,split,4.85,10,10,1.487,False
q102,split,5.52,12,12,0.8170000000000002,False
q102,split,7.35,16,15,0.266,False
q102,split,7.73,17,16,0.6460000000000008,False
q102,split,9.56,21,20,1.2439999999999998,False
q102,split,9.77,22,21,1.0340000000000007,False
q102,split,11.71,26,24,0.2560000000000002,False
q102,split,12.28,28,26,0.8259999999999987,False
q102,split,21.78,42,37,1.3260000000000005,False
q102,split,22.15,43,38,0.9560000000000031,False
q102,split,23.89,46,41,0.28200000000000003,False
q102,split,24.2,47,42,0.5919999999999987,False
q102,split,26.37,53,47,1.1469999999999985,False
q102,split,26.72,54,48,0.7970000000000006,False
q102,split,28.24,57,50,0.22499999999999787,False
q102,split,28.58,58,51,0.5649999999999977,False
q102,split,31.73,61,54,0.7330000000000005,False
q102,merged,0.926,1,0,0.468,False
q102,merged,1.542,4,3,0.8939999999999999,False
q102,merged,3.203,6,6,0.351,False
q102,merged,3.424,7,7,0.5720000000000001,False
q102,merged,3.586,8,7,0.734,False
q102,merged,4.815,10,9,1.5219999999999994,False
q102,merged,5.507,12,11,0.8300000000000001,False
q102,merged,5.893,14,13,0.44399999999999995,False
q102,merged,7.355,16,14,0.2710000000000008,False
q102,merged,7.719,17,15,0.6350000000000007,False
q102,merged,9.547,21,19,1.2569999999999997,False
q102,merged,9.753,22,20,1.0510000000000002,False
q102,merged,11.704,26,23,0.25,False
q102,merged,12.257,28,25,0.802999999999999,False
q102,merged,19.636,37,34,0.2789999999999999,False
q102,merged,20.247,39,35,0.8900000000000006,False
q102,merged,21.367,41,36,1.7390000000000008,False
q102,merged,21.763,42,36,1.343,False
q102,merged,22.147,43,37,0.9590000000000032,False
q102,merged,22.333,44,38,0.7730000000000032,False
q102,merged,23.914,47,41,0.30600000000000094,False
q102,merged,24.219,48,42,0.6110000000000007,False
q102,merged,26.366,53,46,1.1509999999999998,False
q102,merged,26.565,54,47,0.9519999999999982,False
q102,merged,26.733,55,48,0.7839999999999989,False
q102,merged,28.223,57,49,0.2079999999999984,False
q102,merged,28.567,58,50,0.5519999999999996,False
q102,merged,29.406,60,52,1.3909999999999982,False
q14,split,0.64,1,1,0.325,False
q14,split,5.79,8,8,0.5270000000000001,False
q14,split,7.21,10,10,0.33199999999999985,False
q14,split,7.53,11,11,0.6520000000000001,False
q14,split,8.09,12,12,1.2119999999999997,False
q14,split,18.4,23,22,0.33699999999999974,False
q14,split,18.9,23,23,0.8369999999999997,False
q14,merged,0.615,1,0,0.3,False
q14,merged,5.783,8,7,0.5339999999999998,False
q14,merged,7.183,10,9,0.3049999999999997,False
q14,merged,7.485,11,10,0.6070000000000002,False
q14,merged,8.072,12,11,1.193999999999999,False
q14,merged,16.879,20,19,0.8030000000000008,False
q14,merged,18.365,23,21,0.3019999999999996,False
q14,merged,18.926,24,23,0.8629999999999995,False
q16,split,1.52,3,3,1.079,False
q16,split,1.92,4,4,1.4789999999999999,False
q16,split,2.29,5,5,1.849,False
q16,split,6.2,11,9,1.6509999999999998,False
q16,split,9.62,16,14,0.6919999999999984,False
q16,split,10.73,19,16,1.8019999999999996,False
q16,split,11.12,20,17,1.8150000000000013,False
q16,split,13.79,23,20,0.37099999999999866,False
q16,split,14.11,24,21,0.690999999999999,False
q16,split,14.47,25,22,1.0510000000000002,False
q16,merged,1.518,3,2,1.077,False
q16,merged,1.917,4,3,1.476,False
q16,merged,2.288,5,4,1.8469999999999998,False
q16,merged,5.145,9,8,2.7060000000000004,False
q16,merged,5.5,10,8,2.351,False
q16,merged,5.835,11,8,2.016,False
q16,merged,6.219,12,9,1.6319999999999997,False
q16,merged,9.63,17,14,0.702,False
q16,merged,10.724,19,15,1.7959999999999994,False
q16,merged,11.107,20,16,1.8280000000000012,False
q16,merged,13.778,23,19,0.359,False
q16,merged,14.105,24,20,0.6859999999999999,False
q16,merged,14.458,25,21,1.0389999999999997,False
q16,merged,14.806,26,22,1.3869999999999987,False
q18,split,1.87,2,2,1.322,False
q18,split,7.56,10,10,1.7150000000000007,False
q18,split,7.99,10,11,1.2850000000000001,False
q18,split,11.99,14,14,1.3119999999999994,False
q18,split,12.38,14,15,1.702,False
q18,split,14.22,17,18,0.5350000000000001,False
q18,split,16.02,20,20,0.3460000000000001,False
q18,split,17.24,21,22,1.5620000000000012,False
q18,split,18.0,23,23,0.8019999999999996,False
q18,split,20.07,24,25,0.11400000000000077,True
q18,split,20.4,25,26,0.44399999999999906,False
q18,split,21.25,26,27,1.2940000000000005,False
q18,split,21.64,27,28,1.684000000000001,False
q18,split,23.27,29,31,0.7809999999999988,False
q18,split,23.47,30,32,0.5809999999999995,False
q18,split,26.91,34,37,0.7330000000000005,False
q18,merged,1.833,2,1,1.285,False
q18,merged,7.514,10,9,1.7120000000000006,False
q18,merged,8.169,11,11,1.1059999999999999,False
q18,merged,11.977,14,13,1.2989999999999995,False
q18,merged,12.409,15,15,1.7309999999999999,False
q18,merged,14.265,18,18,0.4900000000000002,False
q18,merged,16.011,20,19,0.33699999999999974,False
q18,merged,17.247,22,22,1.5549999999999997,False
q18,merged,17.875,23,22,0.9269999999999996,False
q18,merged,20.382,25,25,0.42600000000000193,False
q18,merged,21.195,26,26,1.2390000000000008,False
q18,merged,21.622,27,27,1.6660000000000004,False
q18,merged,23.446,30,31,0.6049999999999969,False
q18,merged,26.923,35,37,0.7200000000000024,False
q2,split,9.11,14,11,1.7270000000000003,False
q2,merged,1.389,1,0,0.864,False
q2,merged,2.058,3,1,1.533,False
q2,merged,3.817,7,4,1.1920000000000002,False
q2,merged,9.141,15,11,1.6959999999999997,False
q2,merged,13.289,20,14,1.725999999999999,False
q2,merged,14.549,22,15,1.9400000000000013,False
q2,merged,16.002,26,18,0.4870000000000019,False
q2,merged,20.937,32,23,1.8569999999999993,False
q21,split,0.46,1,1,0.232,False
q21,split,0.72,2,2,0.492,False
q21,split,1.52,5,5,1.292,False
q21,split,2.78,9,9,0.9280000000000004,False
q21,split,3.13,10,10,0.5780000000000003,False
q21,split,4.52,11,12,0.10599999999999987,True
q21,split,4.97,13,14,0.556,False
q21,split,6.01,17,17,1.5170000000000003,False
q21,split,8.88,22,21,0.23300000000000054,False
q21,split,9.15,23,22,0.5030000000000001,False
q21,split,10.5,28,26,1.8529999999999998,False
q21,split,10.75,28,27,2.1029999999999998,False
q21,split,11.09,30,28,2.4429999999999996,False
q21,split,11.72,31,30,3.0730000000000004,False
q21,split,12.08,32,31,3.433,False
q21,split,13.62,38,37,2.061,False
q21,split,14.43,40,39,1.2509999999999994,False
q21,split,20.02,53,53,0.3949999999999996,False
q21,split,21.14,54,55,0.20700000000000074,False
q21,split,21.43,55,56,0.4969999999999999,False
